X,Y,portid,portname,country,ISO3,continent,fullname,lat,lon,vessel_count_total,vessel_count_container,vessel_count_dry_bulk,vessel_count_general_cargo,vessel_count_RoRo,vessel_count_tanker,industry_top1,industry_top2,industry_top3,share_country_maritime_import,share_country_maritime_export,LOCODE,pageid,countrynoaccents,ObjectId
15147311.1,4254923.852,port1325,Tsuruga,Japan,JPN,Asia & Pacific,"Tsuruga, Japan",35.66719379,136.0706107,481,46,98,121,169,45,Mineral Products,Wood & Wood Products,Vegetable Products,0.45,0.08,,3b1f40eb8acd452ab6229331302891fe,Japan,1
10996330.25,193165.4056,port1198,Sibolga,Indonesia,IDN,Asia & Pacific,"Sibolga, Indonesia",1.734969159,98.78171534,91,29,1,5,0,54,Mineral Products,Prepared Foodstuffs & Beverages,Vegetable Products,0.01,0,,4d00b008b4be4068bf8a19d7da6e8cf6,Indonesia,2
12063063.07,2465268.522,port339,Fang-Cheng,China,CHN,Asia & Pacific,"Fang-Cheng, China",21.61420534,108.3643393,1670,10,1251,228,0,180,Mineral Products,Chemical & Allied Industries,Vegetable Products,3.29,0.63,,266042b244cf452a89f4a2de14f3da2f,China,3
14606584.81,4021402.441,port1335,Ube,Japan,JPN,Asia & Pacific,"Ube, Japan",33.94487467,131.2131838,4366,9,1154,1107,0,2095,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",0.75,1.72,,f3f6725ef00e4d3f8f9c93c45258667e,Japan,4
18741773.51,-5875427.587,port153,Bluff Harbor,New Zealand,NZL,Asia & Pacific,"Bluff Harbor, New Zealand",-46.59012995,168.360216,233,43,112,20,0,56,Wood & Wood Products,Metals,Prepared Foodstuffs & Beverages,6.53,2.53,,894ab5e5a18e48b6922c023196f74c8f,New Zealand,5
-164204.3932,7359181.087,port1334,Tynemouth,United Kingdom,GBR,Europe,"Tynemouth, United Kingdom",54.98616295,-1.475073161,444,82,70,115,154,23,Wood & Wood Products,Mineral Products,Prepared Foodstuffs & Beverages,1.18,0.84,GB TYM,c5c5cc67df43466e999530930e8425d1,United Kingdom,6
13439488.08,4551048.912,port897,Penglai,China,CHN,Asia & Pacific,"Penglai, China",37.79885005,120.7289755,171,3,58,104,1,3,Mineral Products,Vegetable Products,Wood & Wood Products,0.06,0.05,,0f79b45e2a6b466682a3e2c4d5d8d3df,China,7
1693740.332,3808549.026,port750,Misrata,Libya,LBY,Africa,"Misrata, Libya",32.34398379,15.21512828,883,385,96,263,66,72,Mineral Products,Metals,Vegetable Products,44.63,9.69,,70d1343f8a804a53bd7d766c3dbed671,Libya,8
5360523.247,3560699.314,port563,Khorramshahr,Iran,IRN,Asia & Pacific,"Khorramshahr, Iran",30.44360334,48.15439964,196,21,4,169,0,1,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,0.13,0.12,IR KHO,0c2107f4770842e4b68a3986bb94b6c4,Iran,9
14913858.38,4105068.134,port1343,Uno,Japan,JPN,Asia & Pacific,"Uno, Japan",34.56607811,133.9734693,487,0,47,163,4,272,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",0,0.18,,2ab531a159ee4add8bb76a491e2cf25b,Japan,10
12926691.18,-365300.5753,port1224,Stagen,Indonesia,IDN,Asia & Pacific,"Stagen, Indonesia",-3.279758294,116.1224426,438,38,80,95,0,223,Mineral Products,Prepared Foodstuffs & Beverages,Chemical & Allied Industries,0.26,0.5,,1747e111d06f494194eb7b517b3854c4,Indonesia,11
5733908.019,4391133.881,port834,Nowshahr Port,Iran,IRN,Asia & Pacific,"Nowshahr Port, Iran",36.65505162,51.50857211,165,1,0,162,0,1,Vegetable Products,Mineral Products,Prepared Foodstuffs & Beverages,0.76,0.05,,0442995aff114fcbb7180bcb003ebe41,Iran,12
13383120.63,4304306.754,port1069,Qingdao,China,CHN,Asia & Pacific,"Qingdao, China",36.02677905,120.2226181,10151,6805,1227,1056,91,971,Mineral Products,Chemical & Allied Industries,Vegetable Products,5.75,6.72,CN QDG,c27f8d2d036f465d996bcf1429c44926,China,13
14755430,3924675.702,port1345,Uwajima,Japan,JPN,Asia & Pacific,"Uwajima, Japan",33.2210061,132.5502829,70,0,29,33,0,7,Prepared Foodstuffs & Beverages,Mineral Products,Vegetable Products,0,0.01,,d1bba355809847d38cc2a7a30ab7a188,Japan,14
3321505.384,3652942.729,port23,Alexandria,Egypt,EGY,Africa,"Alexandria, Egypt",31.15536502,29.83759053,2942,835,447,1147,141,369,Mineral Products,Vegetable Products,Metals,21.37,7.45,,a068e6e45ebc45ecb3aeda0a5ea19a38,Egypt,15
5359493.108,3381444.528,port743,Mina Al Ahmadi,Kuwait,KWT,Asia & Pacific,"Mina Al Ahmadi, Kuwait",29.0455478,48.14514574,574,35,28,9,4,497,Mineral Products,Chemical & Allied Industries,Vegetable Products,8.26,72.71,,a019490627984d30b93e97fa158d2d0a,Kuwait,16
17215.37368,6922007.99,port1400,Wisbech,United Kingdom,GBR,Europe,"Wisbech, United Kingdom",52.66901607,0.154648333,79,5,0,73,0,0,Wood & Wood Products,Vegetable Products,Mineral Products,0.05,0,GB WIS,debaeedb9dd44523ba7b9b7994db71b9,United Kingdom,17
14561995.76,4016804.547,port1378,Wakamatsu (Kitakyushu),Japan,JPN,Asia & Pacific,"Wakamatsu (Kitakyushu), Japan",33.91060335,130.8126336,5056,185,1156,3129,21,563,Mineral Products,Metals,Chemical & Allied Industries,1.7,1.71,,b03377320188458bb9fdb39ed2bbb51a,Japan,18
13331987.12,4246996.387,port1070,Dongjiakou,China,CHN,Asia & Pacific,"Dongjiakou, China",35.60931763,119.763278,1838,19,858,210,0,750,Mineral Products,Chemical & Allied Industries,Vegetable Products,3.8,1.22,,c5e6bf92ae064185b0723656aa59b07c,China,19
3621294.192,3497253.974,port71,As Suways,Egypt,EGY,Africa,"As Suways, Egypt",29.95100833,32.53063921,221,1,6,87,3,123,Mineral Products,Chemical & Allied Industries,Stone & Glass,0.13,0.47,,985a636a613c43919bfb65a922bd6e6b,Egypt,20
536519.2152,6874666.933,port45,Amsterdam,The Netherlands,NLD,Europe,"Amsterdam, The Netherlands",52.41036165,4.819634112,4596,400,459,1450,92,2194,Mineral Products,Chemical & Allied Industries,Vegetable Products,10.02,16.17,NL AMS,148e0d053aec4eb0a27d53cc6a7ae520,The Netherlands,21
12548118.63,-803716.1646,port1237,Tanjung Perak,Indonesia,IDN,Asia & Pacific,"Tanjung Perak, Indonesia",-7.200873409,112.7216675,6333,2833,320,1887,255,1036,Mineral Products,Prepared Foodstuffs & Beverages,Wood & Wood Products,8.89,3.49,ID SUB,78366a0da4c64d2bbf93abb950d0ad2a,Indonesia,22
15042991.23,4053559.757,port1379,Wakayama-Shimotsu,Japan,JPN,Asia & Pacific,"Wakayama-Shimotsu, Japan",34.18417973,135.1334894,3939,17,689,988,9,2234,Metals,Mineral Products,Chemical & Allied Industries,2,2.07,,4d672891769848a08aa67454c1a270a6,Japan,23
16618603.36,-2425445.316,port458,Hay Point,Australia,AUS,Asia & Pacific,"Hay Point, Australia",-21.28124079,149.287454,1110,0,1109,0,0,0,Mineral Products,Chemical & Allied Industries,Vegetable Products,0.24,7.06,,d3918531627c4747b3fa1ddb322d63ed,Australia,24
-396652.9372,7294408.387,port1402,Workington,United Kingdom,GBR,Europe,"Workington, United Kingdom",54.65091454,-3.56319396,81,4,0,76,0,0,Mineral Products,Wood & Wood Products,Vegetable Products,0.07,0.01,GB WOR,8c850801b4a4451590c6dfb0eeb1b8c9,United Kingdom,25
12093562.75,2473000.893,port1071,Qinzhou,China,CHN,Asia & Pacific,"Qinzhou, China",21.67876784,108.6383226,2676,1005,786,251,0,632,Mineral Products,Vegetable Products,Chemical & Allied Industries,1.57,0.81,,f93233bbee184bf3815bb214789503da,China,26
19817961.47,-4675353.36,port396,Gisborne,New Zealand,NZL,Asia & Pacific,"Gisborne, New Zealand",-38.67590403,178.0277769,122,0,114,8,0,0,Wood & Wood Products,Mineral Products,Vegetable Products,0.04,5.05,NZ GIS,6d1fc125b9464c16a2c001a57b4d890c,New Zealand,27
13319377.81,4855260.726,port1072,Qinhuangdao,China,CHN,Asia & Pacific,"Qinhuangdao, China",39.92645539,119.6500066,2118,86,1754,125,0,152,Mineral Products,Chemical & Allied Industries,Metals,0.15,4.01,,ecba22e319b9411a82c2ce1319e58cf6,China,28
12930507.36,-202655.2378,port1262,Tanah Merah,Indonesia,IDN,Asia & Pacific,"Tanah Merah, Indonesia",-1.820176741,116.1567239,63,0,0,55,0,8,Mineral Products,Machinery & Electrical Equipment,Prepared Foodstuffs & Beverages,0,0.18,,1a38f87a17ef4b0ea570fe4a3eb466f6,Indonesia,29
1472646.565,5746298.952,port1142,San Giorgio,Italy,ITA,Europe,"San Giorgio, Italy",45.78711073,13.22900917,271,7,12,250,0,0,Metals,Mineral Products,Prepared Foodstuffs & Beverages,0.18,0.46,,bb67a6d94b194e29ae42fe1b78d96afd,Italy,30
13427092.51,3763089.783,port1073,Qiwei,China,CHN,Asia & Pacific,"Qiwei, China",31.99831756,120.6176242,4255,58,1686,698,3,1808,Mineral Products,Metals,Vegetable Products,1.52,0.43,,fe1788bd2872444186a111bfe8f19d92,China,31
14533168.72,3832217.61,port1411,Yatsushiro,Japan,JPN,Asia & Pacific,"Yatsushiro, Japan",32.52343634,130.5536759,695,66,268,166,0,194,Mineral Products,Wood & Wood Products,Chemical & Allied Industries,0.23,0.11,,8cecb8b43faa469c87aa4341a5c670e4,Japan,32
-8537761.648,4125600.387,port767,Morehead City,United States,USA,North America,"Morehead City, United States",34.71782416,-76.69601781,126,4,47,64,0,8,Metals,Mineral Products,Vegetable Products,0.17,0.05,US MRH,f50e4edbddb14318b79c42648cc03b67,United States,33
3778431.882,3089225.18,port191,Safaga,Egypt,EGY,Africa,"Safaga, Egypt",26.72555551,33.9422311,213,0,81,127,0,2,Vegetable Products,Mineral Products,Prepared Foodstuffs & Beverages,1.88,2.54,EG SGA,11463b58a3054345a897c7484b631d20,Egypt,34
14740601.31,3956121.473,port1412,Yawatahama,Japan,JPN,Asia & Pacific,"Yawatahama, Japan",33.45700083,132.4170745,107,0,44,4,0,58,Mineral Products,Prepared Foodstuffs & Beverages,Animal & Animal Products,0,0,JP YWH,c9272a71175f4707b00263ec4ea2c273,Japan,35
13299820.92,2971562.331,port370,Fuzhou,China,CHN,Asia & Pacific,"Fuzhou, China",25.77760491,119.4743241,2032,967,336,200,5,522,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,0.4,0.64,CN FZH,019656b8fc54490996b54132f5c8234f,China,36
15212510.65,4159988.274,port1416,Yokkaichi,Japan,JPN,Asia & Pacific,"Yokkaichi, Japan",34.97134904,136.6563083,6406,549,340,345,247,4924,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",1.26,1.6,JP YKK,dd33cd2196504a2b97c24ca2738e1043,Japan,37
13213966.34,2856853.686,port1074,Quanzhou,China,CHN,Asia & Pacific,"Quanzhou, China",24.84610329,118.7030793,547,254,55,218,0,19,Prepared Foodstuffs & Beverages,Mineral Products,Vegetable Products,0.11,0.08,CN QZL,f4fde59e85dd489a91cf073a7e2ad4ac,China,38
12995980.32,-994953.1384,port1267,Tanjung Benete,Indonesia,IDN,Asia & Pacific,"Tanjung Benete, Indonesia",-8.901785947,116.7448775,127,13,24,66,0,22,Mineral Products,Prepared Foodstuffs & Beverages,Chemical & Allied Industries,0.12,0.35,,89e6172192544d3aaf0ceda304ef1a7c,Indonesia,39
775246.0212,7041474.247,port285,Delfzijl,The Netherlands,NLD,Europe,"Delfzijl, The Netherlands",53.31497835,6.964153498,468,29,58,227,0,152,Mineral Products,Vegetable Products,Chemical & Allied Industries,0.19,0.78,NL DZL,d5234dbc91b74ee7ba55ce1cb833f70e,The Netherlands,40
-446492.2715,589042.875,port4,Abidjan,Côte d'Ivoire,CIV,Africa,"Abidjan, Côte d'Ivoire",5.283956223,-4.010908317,1397,524,415,197,65,194,Mineral Products,Vegetable Products,"Plastics, Rubber, Leather",92.92,61.66,CI ABJ,fb08117c1d8743a4b7c1d8a216d6d975,Cote d'Ivoire,41
3596478.875,3665205.271,port192,Port Said,Egypt,EGY,Africa,"Port Said, Egypt",31.24958629,32.30771942,796,499,33,158,10,94,Mineral Products,Vegetable Products,Chemical & Allied Industries,3.26,3.79,,87392bda133f4d98ac6a7d3ed8d4a6b5,Egypt,42
13306303.43,4211398.244,port1105,Rizhao,China,CHN,Asia & Pacific,"Rizhao, China",35.34890965,119.5325575,2394,463,1597,287,0,44,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,4.72,0.92,CN RZH,86be771c415b406cacf7fa546da2abf2,China,43
16399812.22,-5288716.744,port469,Hobart,Australia,AUS,Asia & Pacific,"Hobart, Australia",-42.84702725,147.3220197,159,0,43,45,0,70,Mineral Products,Vegetable Products,Chemical & Allied Industries,0.87,0.04,AU HBA,e8cf2b63b2604da08236375ba34842e6,Australia,44
15547861.06,4222137.104,port1417,Yokohama,Japan,JPN,Asia & Pacific,"Yokohama, Japan",35.42755553,139.6688123,12578,4525,932,2869,1348,2902,Mineral Products,Vegetable Products,Wood & Wood Products,4.47,7.08,,c1cce71c68f84ff8a3421eb918220ed8,Japan,45
11799771.57,-665080.5404,port1268,Tanjung Geren,Indonesia,IDN,Asia & Pacific,"Tanjung Geren, Indonesia",-5.963722374,105.9991515,814,0,0,8,0,806,Mineral Products,Prepared Foodstuffs & Beverages,Chemical & Allied Industries,1.83,0.08,,fd1ca16b63b54efe8350239d13eb1978,Indonesia,46
15546163.1,4207589.321,port1418,Yokosuka,Japan,JPN,Asia & Pacific,"Yokosuka, Japan",35.32099664,139.6535592,618,0,2,179,257,178,Mineral Products,Vehicles & Equipment,Machinery & Electrical Equipment,0.14,0.31,,20d1e0abb880479a813873da4aa74bf3,Japan,47
3535448.304,3692912.973,port274,Damietta,Egypt,EGY,Africa,"Damietta, Egypt",31.46213686,31.75947248,2104,692,603,679,2,126,Mineral Products,Chemical & Allied Industries,Vegetable Products,19.18,19.29,,1b9285ff906f45c0aa30f0a6f15199d4,Egypt,48
5702738.334,5404112.422,port16,Aktau Port,Kazakhstan,KAZ,Europe,"Aktau Port, Kazakhstan",43.60236745,51.22857007,1047,0,1,725,0,319,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",96.42,99.75,,d5f17de66bfb4e9b96ad25cd82139fe5,Kazakhstan,49
-736785.2433,528787.082,port1146,San Pedro,Côte d'Ivoire,CIV,Africa,"San Pedro, Côte d'Ivoire",4.744742838,-6.618654452,235,137,73,13,0,11,Vegetable Products,Prepared Foodstuffs & Beverages,Mineral Products,7.08,38.34,,3e1f5b2c974b4eee90de1d75c14b15b0,Cote d'Ivoire,50
5594803.966,5551856.338,port129,Bautino,Kazakhstan,KAZ,Europe,"Bautino, Kazakhstan",44.55577479,50.25897914,48,0,4,22,0,21,Mineral Products,Vegetable Products,Chemical & Allied Industries,3.58,0.25,KZ BTN,79e51d0de0e6481daeaef75f6d4f4b4e,Kazakhstan,51
3613666.182,3491236.818,port321,Al Adabiyah,Egypt,EGY,Africa,"Al Adabiyah, Egypt",29.90416291,32.46211563,490,38,98,187,0,166,Mineral Products,Chemical & Allied Industries,Vegetable Products,3.31,5.17,,88ecd7ac247342398eb9259afdb0d2ee,Egypt,52
6074001.407,2828215.295,port5,Abu Dhabi,United Arab Emirates,ARE,Asia & Pacific,"Abu Dhabi, United Arab Emirates",24.61243288,54.563683,1036,23,668,241,0,103,Mineral Products,Metals,Vegetable Products,2.88,0.65,,ff2af6b07d6a4ba1bd80b99ae32b1176,United Arab Emirates,53
-2014424.09,9793869.614,port17,Akureyri,Iceland,ISL,Europe,"Akureyri, Iceland",65.69501582,-18.09587949,130,32,8,71,0,18,Chemical & Allied Industries,Mineral Products,Metals,5.3,7.98,IS AKU,9b2ad43c7f8c4ed5a1a9b750102f35da,Iceland,54
6173075.252,2927394.723,port13,Ajman,United Arab Emirates,ARE,Asia & Pacific,"Ajman, United Arab Emirates",25.41978684,55.45367849,348,260,17,34,0,36,Prepared Foodstuffs & Beverages,Vegetable Products,Wood & Wood Products,0.19,0.03,AE AJM,573edce8b77b4cc0b248cd398f20d45d,United Arab Emirates,55
-1590409.281,9519530.887,port295,Djupivogur,Iceland,ISL,Europe,"Djupivogur, Iceland",64.66058562,-14.28688965,3,0,0,1,0,1,Mineral Products,Animal & Animal Products,Prepared Foodstuffs & Beverages,0.02,0.2,IS DJU,bb3b31f2483044f3a5ddcfda7da08ecd,Iceland,56
6177676.446,2933280.136,port22,Al Hamriyah LPG Terminal,United Arab Emirates,ARE,Asia & Pacific,"Al Hamriyah LPG Terminal, United Arab Emirates",25.46752849,55.49501172,1159,7,102,83,0,965,Mineral Products,Chemical & Allied Industries,Vegetable Products,5.35,1.91,,6fd6b4ba2ecd41d5b392ba77452be856,United Arab Emirates,57
-1568130.558,9619685.447,port329,Eskifjordhur,Iceland,ISL,Europe,"Eskifjordhur, Iceland",65.04291822,-14.08675648,183,55,16,96,0,14,Mineral Products,Chemical & Allied Industries,Metals,25.73,34.67,,1a0eea0efc634fa290623a034750b684,Iceland,58
6164454.092,2920412.974,port72,Sharjah,United Arab Emirates,ARE,Asia & Pacific,"Sharjah, United Arab Emirates",25.36312735,55.37623329,1367,363,149,330,20,504,Mineral Products,Vegetable Products,Chemical & Allied Industries,3.02,1.4,,36acd1e3c9f94f0c95cff8bce18fcefb,United Arab Emirates,59
-2431574.942,9391463.006,port1098,Reykjavik,Iceland,ISL,Europe,"Reykjavik, Iceland",64.16372639,-21.84320935,563,379,1,93,0,89,Chemical & Allied Industries,Mineral Products,Metals,58.23,55.5,IS REY,3de889e9a17c4aa78a5fb2b435a828a9,Iceland,60
6154946.039,2909359.95,port306,Dubai,United Arab Emirates,ARE,Asia & Pacific,"Dubai, United Arab Emirates",25.27337362,55.290821,1644,137,53,1002,26,425,Mineral Products,Chemical & Allied Industries,Vegetable Products,1.75,3.36,,e3b0e79699954abe82fa561e6a6d7a2b,United Arab Emirates,61
3891578.086,3433265.427,port19,Al Aqabah,Jordan,JOR,Asia & Pacific,"Al Aqabah, Jordan",29.45171189,34.95864074,908,253,300,170,78,106,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,100,100,,dac54a37987649e888a4d23e5a23851e,Jordan,62
-7893899.548,5105480.859,port808,New Bedford,United States,USA,North America,"New Bedford, United States",41.62842538,-70.91210615,4,0,2,1,0,0,Mineral Products,Animal & Animal Products,Vegetable Products,0,0,US NBD,7c55b11fa676410b85fdded409d14649,United States,63
13353493.46,4497091.22,port1151,Sanshandaocun,China,CHN,Asia & Pacific,"Sanshandaocun, China",37.41485613,119.9564727,339,1,95,65,0,177,Mineral Products,Chemical & Allied Industries,Vegetable Products,0.3,0.15,,5ee9fe86ea59433084082bb16bc09501,China,64
6273902.001,2900351.439,port362,Al Fujayrah,United Arab Emirates,ARE,Asia & Pacific,"Al Fujayrah, United Arab Emirates",25.20017278,56.35942059,3558,6,260,22,0,3269,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",19.36,19.99,,18e896cce55349e48d994f5ceef19bf0,United Arab Emirates,65
12980215.9,2680184.672,port1187,Shantou,China,CHN,Asia & Pacific,"Shantou, China",23.39769643,116.6032633,365,88,64,31,0,180,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,0.06,0.02,,76cd98c6668b4302b353ddee80ddd018,China,66
5867674.142,2768888.322,port512,Jabal Az Zannah-Ruways,United Arab Emirates,ARE,Asia & Pacific,"Jabal Az Zannah-Ruways, United Arab Emirates",24.12697586,52.71021364,1397,260,214,26,0,896,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",0.89,21.34,,3cf7e4a4ae10499bb41728f5b59ebe39,United Arab Emirates,67
13541370.05,3657682.552,port1188,Shanghai,China,CHN,Asia & Pacific,"Shanghai, China",31.19179536,121.6441968,26363,10975,5599,2937,1496,5354,Mineral Products,Metals,Wood & Wood Products,2.87,13.4,CN SGH,bde0534e45f346e9b136bc5b185f9789,China,68
6274941.085,2919250.22,port561,Khor al Fakkan,United Arab Emirates,ARE,Asia & Pacific,"Khor al Fakkan, United Arab Emirates",25.35368858,56.36875484,282,45,21,19,0,195,Machinery & Electrical Equipment,Vegetable Products,Textiles & Footwear,0.31,0.35,,017374a2fdfb4fa7bec59e488274926d,United Arab Emirates,69
12669308.84,2581482.086,port1189,Shekou (Shenzhen),China,CHN,Asia & Pacific,"Shekou (Shenzhen), China",22.58146762,113.8103377,5771,5497,61,152,0,59,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,0.55,3.21,,9e34b20f996642aab7000a1972ba0c68,China,70
6131234.528,2875673.319,port744,Jebel Ali,United Arab Emirates,ARE,Asia & Pacific,"Jebel Ali, United Arab Emirates",24.99941947,55.07781687,7587,4536,469,981,334,1265,Mineral Products,Metals,Chemical & Allied Industries,49.6,15.66,,d10ddc98bfee43949a09ea4d790a18f8,United Arab Emirates,71
13625787.8,4422532.611,port1191,Shidao Newport,China,CHN,Asia & Pacific,"Shidao Newport, China",36.88099953,122.4025344,1039,160,386,415,8,68,Mineral Products,Metals,Vegetable Products,0.1,0.85,,33d63b6a11644e5e8daa2bdaa9f0abdb,China,72
6240911.171,2995029.797,port747,Mina Saqr,United Arab Emirates,ARE,Asia & Pacific,"Mina Saqr, United Arab Emirates",25.96728647,56.06305892,1443,170,898,251,0,123,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",2.31,22.55,AE MSA,51c2bcec1bfa48978500e2286b650ae0,United Arab Emirates,73
13184488.54,2834158.991,port1192,Shijing Longxiang,China,CHN,Asia & Pacific,"Shijing Longxiang, China",24.6609656,118.4382757,20,0,0,10,0,9,Mineral Products,Vegetable Products,Chemical & Allied Industries,0,0,,5b99febc965b448a86420a87095e493b,China,74
6187164.019,2948155.271,port1340,Umm al Qaiwain,United Arab Emirates,ARE,Asia & Pacific,"Umm al Qaiwain, United Arab Emirates",25.58810902,55.58024004,130,45,2,76,6,0,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,0.08,0.01,,c2afc8fe64684437b66bc12dc319ec46,United Arab Emirates,75
13188631.52,4722655.007,port1195,Shougang Jingtang,China,CHN,Asia & Pacific,"Shougang Jingtang, China",39.00686524,118.4754927,3147,11,2861,186,0,88,Mineral Products,Metals,Vegetable Products,3.91,4.18,,9d9e978c7e064e26b13e01119bd02bad,China,76
19694413.81,-4789991.916,port794,Napier,New Zealand,NZL,Asia & Pacific,"Napier, New Zealand",-39.47534995,176.9179294,554,254,196,45,0,58,Wood & Wood Products,Animal & Animal Products,Chemical & Allied Industries,3.01,10.65,NZ NPE,cc85fdaf40be4f3d98641beca92085dd,New Zealand,77
5320825.244,3575474.292,port20,Al Basrah,Iraq,IRQ,Asia & Pacific,"Al Basrah, Iraq",30.55796288,47.79778641,9,0,0,6,0,2,Mineral Products,Prepared Foodstuffs & Beverages,Vegetable Products,0,0.21,,dae9dedc428d46c4bbaaa6dc1ad08a0d,Iraq,78
1003322.644,4733977.89,port1167,Sarroch Oil Terminal,Italy,ITA,Europe,"Sarroch Oil Terminal, Italy",39.08586095,9.013000658,658,0,0,0,0,658,Mineral Products,Chemical & Allied Industries,Stone & Glass,5,8.35,,6b4e6baab100456a9e5c1438bb6d1479,Italy,79
5332406.397,3518184.181,port1341,Umm Qasr,Iraq,IRQ,Asia & Pacific,"Umm Qasr, Iraq",30.1137845,47.90182168,1537,389,155,269,12,711,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,100,99.79,,bc52a96fda974f8eb42204484ce82c16,Iraq,80
13337310.74,3804528.789,port375,Gaogang,China,CHN,Asia & Pacific,"Gaogang, China",32.31346734,119.8111009,928,64,522,85,0,256,Mineral Products,Prepared Foodstuffs & Beverages,Wood & Wood Products,0.44,0.09,CN GAO,eedecdcb37ee4abc9cc8bd55e034f0d0,China,81
2181679.746,3555982.477,port21,Ras Lanuf (Al Burayqah),Libya,LBY,Africa,"Ras Lanuf (Al Burayqah), Libya",30.40706634,19.59836261,70,2,6,45,0,17,Mineral Products,Prepared Foodstuffs & Beverages,Vegetable Products,0.5,2.63,,563e936281e04c7f9e18901e1341f004,Libya,82
1413758.474,3866867.635,port85,Az Zawiyah,Libya,LBY,Africa,"Az Zawiyah, Libya",32.78550356,12.70000845,163,0,0,0,0,163,Mineral Products,Chemical & Allied Industries,Stone & Glass,5.68,44.24,,d7bf1937bf5b4d12b3b8026724917408,Libya,83
3981948.184,4235265.876,port26,Latakia,Syria,SYR,Asia & Pacific,"Latakia, Syria",35.52359965,35.77044914,185,126,21,36,1,0,Vegetable Products,Prepared Foodstuffs & Beverages,Mineral Products,86.91,60.93,SY ALD,9874522f3a314ca487feb85e29ad2dc1,Syria,84
2231663.457,3777958.988,port110,Benghazi,Libya,LBY,Africa,"Benghazi, Libya",32.1115254,20.04737392,505,147,65,180,30,82,Mineral Products,Vegetable Products,Chemical & Allied Industries,21.39,2.41,,84383c14b49e421ab68858e6039e4525,Libya,85
2235642.223,3619175.83,port334,Ez Zueitina,Libya,LBY,Africa,"Ez Zueitina, Libya",30.89542737,20.08311579,29,0,0,0,0,29,Mineral Products,Chemical & Allied Industries,Stone & Glass,0.04,0.62,,7cceb25ff7c2447ba9766c439a264ed9,Libya,86
761645.6874,7065068.303,port316,Eemshaven,The Netherlands,NLD,Europe,"Eemshaven, The Netherlands",53.44141225,6.841979621,520,44,88,360,1,25,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,1.03,0.36,NL EEM,1174917582184040bd7b53a46884658a,The Netherlands,87
1585753.742,3852620.569,port562,Khoms,Libya,LBY,Africa,"Khoms, Libya",32.67784227,14.24506823,214,93,43,63,12,1,Mineral Products,Vegetable Products,Vehicles & Equipment,10.57,0.64,,39aeea1d24614cd4ad1e7db276fe045b,Libya,88
1362335.022,3876015.362,port710,Mellitah (Marsa Sabratah),Libya,LBY,Africa,"Mellitah (Marsa Sabratah), Libya",32.85456191,12.23806372,60,0,2,13,0,45,Mineral Products,Vegetable Products,Chemical & Allied Industries,0.11,3.83,LY MEL,287333bf080245d1b4308a469f09e829,Libya,89
-8114428.395,5053099.702,port809,New Haven,United States,USA,North America,"New Haven, United States",41.27574662,-72.89315049,165,1,55,9,0,99,Mineral Products,Chemical & Allied Industries,Prepared Foodstuffs & Beverages,0.37,0.05,US HVN,29afd816dbb5482dadf920c8951fe4ad,United States,90
2669910.781,3771336.791,port734,Marsa Tobruk,Libya,LBY,Africa,"Marsa Tobruk, Libya",32.06112409,23.98421662,113,6,15,50,0,40,Mineral Products,Chemical & Allied Industries,Vegetable Products,2.58,35.02,,1e88025acc1b47319b38c98980d5360a,Libya,91
1469482.246,3882655.495,port748,Tripoli,Libya,LBY,Africa,"Tripoli, Libya",32.90465619,13.20058361,337,107,48,113,0,67,Mineral Products,Vegetable Products,Chemical & Allied Industries,14.5,0.91,,d1fb02ef851b4242925ae767c7bda525,Libya,92
19288996.99,-5050948.658,port804,Nelson,New Zealand,NZL,Asia & Pacific,"Nelson, New Zealand",-41.26122281,173.2760081,323,139,96,12,35,39,Wood & Wood Products,Mineral Products,Animal & Animal Products,1.3,3.88,NZ NSN,7acdb481fddb4fc1ba1a9da706c21e70,New Zealand,93
293071.4882,4801358.253,port1431,Palma de Mallorca,Spain,ESP,Europe,"Palma de Mallorca, Spain",39.55412038,2.632705972,175,2,30,88,3,51,Mineral Products,Prepared Foodstuffs & Beverages,Chemical & Allied Industries,0.45,0.03,,30650b2e17ac4137801f2336d2315ca0,Spain,94
